,home,away,home_points,away_points
46,Sacramento Kings,Denver Nuggets,110,105
47,Los Angeles Clippers,Utah Jazz,107,101
48,Milwaukee Bucks,Indiana Pacers,87,81
49,Houston Rockets,Miami Heat,108,91
50,Washington Wizards,New York Knicks,98,83
51,Toronto Raptors,Oklahoma City Thunder,100,88
52,Chicago Bulls,Orlando Magic,98,90
53,New Orleans Pelicans,Charlotte Hornets,100,91
54,Portland Trail Blazers,Cleveland Cavaliers,101,82
55,Phoenix Suns,Los Angeles Lakers,112,106
56,Charlotte Hornets,Miami Heat,96,89
57,Orlando Magic,Philadelphia 76ers,91,89
58,Toronto Raptors,Boston Celtics,110,107
59,Minnesota Timberwolves,Brooklyn Nets,98,91
60,Detroit Pistons,New York Knicks,98,95
61,Chicago Bulls,Milwaukee Bucks,95,86
62,Washington Wizards,Indiana Pacers,96,94
63,San Antonio Spurs,Atlanta Hawks,94,92
64,Memphis Grizzlies,Phoenix Suns,102,91
65,Utah Jazz,Cleveland Cavaliers,102,100
66,Sacramento Kings,Denver Nuggets,131,109
67,Golden State Warriors,Los Angeles Clippers,121,104
68,Houston Rockets,San Antonio Spurs,98,81
69,Portland Trail Blazers,Dallas Mavericks,108,87
70,Charlotte Hornets,Atlanta Hawks,122,119
71,Orlando Magic,Minnesota Timberwolves,112,103
72,Chicago Bulls,Philadelphia 76ers,118,115
73,Boston Celtics,Indiana Pacers,101,98
74,Brooklyn Nets,New York Knicks,110,99
75,Detroit Pistons,Milwaukee Bucks,98,95
76,Toronto Raptors,Washington Wizards,103,84
77,Memphis Grizzlies,Oklahoma City Thunder,91,89
78,Sacramento Kings,Phoenix Suns,114,112
79,Dallas Mavericks,Utah Jazz,105,82
80,Cleveland Cavaliers,Denver Nuggets,110,101
81,Los Angeles Clippers,Portland Trail Blazers,106,102
82,Washington Wizards,Indiana Pacers,97,90
83,Atlanta Hawks,New York Knicks,103,96
84,Miami Heat,Minnesota Timberwolves,102,92
85,Boston Celtics,Chicago Bulls,106,101
86,Golden State Warriors,Houston Rockets,98,87
87,Milwaukee Bucks,Memphis Grizzlies,93,92
88,New Orleans Pelicans,San Antonio Spurs,100,99
89,Brooklyn Nets,Orlando Magic,104,96
90,Utah Jazz,Detroit Pistons,97,96
91,Oklahoma City Thunder,Sacramento Kings,101,93
92,Toronto Raptors,Philadelphia 76ers,120,88
93,Miami Heat,Dallas Mavericks,105,96
94,Phoenix Suns,Golden State Warriors,107,95
95,Portland Trail Blazers,Denver Nuggets,116,100
96,Los Angeles Lakers,Charlotte Hornets,107,92
97,Cleveland Cavaliers,New Orleans Pelicans,118,111
98,Indiana Pacers,Utah Jazz,97,86
99,Atlanta Hawks,New York Knicks,91,85
100,Chicago Bulls,Detroit Pistons,102,91
101,San Antonio Spurs,Los Angeles Clippers,89,85
102,Toronto Raptors,Orlando Magic,104,100
103,Memphis Grizzlies,Los Angeles Lakers,107,102
104,Milwaukee Bucks,Oklahoma City Thunder,85,78
105,Dallas Mavericks,Sacramento Kings,106,98
106,Portland Trail Blazers,Charlotte Hornets,102,100
107,San Antonio Spurs,Golden State Warriors,113,100
108,Washington Wizards,Detroit Pistons,107,103
109,Atlanta Hawks,Utah Jazz,100,97
110,Oklahoma City Thunder,Boston Celtics,109,94
111,Indiana Pacers,Miami Heat,81,75
112,Orlando Magic,New York Knicks,97,95
113,New Orleans Pelicans,Los Angeles Lakers,109,102
114,Portland Trail Blazers,Denver Nuggets,130,113
115,Phoenix Suns,Brooklyn Nets,112,104
116,Houston Rockets,Minnesota Timberwolves,113,101
117,Memphis Grizzlies,Sacramento Kings,111,110
118,Chicago Bulls,Toronto Raptors,100,93
119,Dallas Mavericks,Philadelphia 76ers,123,70
120,Golden State Warriors,Brooklyn Nets,107,99
121,Denver Nuggets,Indiana Pacers,108,87
122,Orlando Magic,Milwaukee Bucks,101,85
123,Atlanta Hawks,Miami Heat,114,103
124,Cleveland Cavaliers,Boston Celtics,122,121
125,Utah Jazz,New York Knicks,102,100
126,Houston Rockets,Philadelphia 76ers,88,87
127,New Orleans Pelicans,Minnesota Timberwolves,139,91
128,Detroit Pistons,Oklahoma City Thunder,96,89
129,Charlotte Hornets,Phoenix Suns,103,95
130,San Antonio Spurs,Los Angeles Lakers,93,80
131,Washington Wizards,Orlando Magic,98,93
132,Cleveland Cavaliers,Atlanta Hawks,127,94
133,Toronto Raptors,Utah Jazz,111,93
134,Indiana Pacers,Chicago Bulls,99,90
135,Memphis Grizzlies,Detroit Pistons,95,88
136,Dallas Mavericks,Minnesota Timberwolves,131,117
137,Portland Trail Blazers,Brooklyn Nets,97,87
138,Sacramento Kings,San Antonio Spurs,94,91
139,Golden State Warriors,Charlotte Hornets,112,87
140,Los Angeles Clippers,Phoenix Suns,120,107
141,New York Knicks,Denver Nuggets,109,93
142,Milwaukee Bucks,Miami Heat,91,84
143,Houston Rockets,Oklahoma City Thunder,69,65
144,Golden State Warriors,Los Angeles Lakers,136,115
145,Dallas Mavericks,Charlotte Hornets,107,80
146,Denver Nuggets,Cleveland Cavaliers,106,97
147,Phoenix Suns,Boston Celtics,118,114
148,Miami Heat,Brooklyn Nets,95,83
149,Orlando Magic,Detroit Pistons,107,93
150,Memphis Grizzlies,Houston Rockets,119,93
151,San Antonio Spurs,Philadelphia 76ers,100,75
152,Portland Trail Blazers,New Orleans Pelicans,102,93
153,Chicago Bulls,Los Angeles Clippers,105,89
154,Los Angeles Lakers,Atlanta Hawks,114,109
155,Milwaukee Bucks,New York Knicks,117,113
156,Utah Jazz,Oklahoma City Thunder,98,81
157,New Orleans Pelicans,Sacramento Kings,106,100
158,San Antonio Spurs,Cleveland Cavaliers,92,90
159,Indiana Pacers,Charlotte Hornets,88,86
160,Los Angeles Clippers,Orlando Magic,114,90
161,Boston Celtics,Philadelphia 76ers,101,90
162,Dallas Mavericks,Washington Wizards,105,102
163,Milwaukee Bucks,Brooklyn Nets,122,118
164,Phoenix Suns,Detroit Pistons,88,86
165,Toronto Raptors,Memphis Grizzlies,96,92
166,Minnesota Timberwolves,New York Knicks,115,99
167,Denver Nuggets,Oklahoma City Thunder,107,100
168,Los Angeles Lakers,Houston Rockets,98,92
169,Los Angeles Clippers,Miami Heat,110,93
170,Sacramento Kings,Chicago Bulls,103,88
171,Orlando Magic,Charlotte Hornets,105,100
172,Phoenix Suns,Philadelphia 76ers,122,96
173,Atlanta Hawks,Detroit Pistons,99,89
174,Toronto Raptors,Milwaukee Bucks,124,82
175,Memphis Grizzlies,Boston Celtics,117,100
176,San Antonio Spurs,Minnesota Timberwolves,121,92
177,Brooklyn Nets,Oklahoma City Thunder,94,92
178,Washington Wizards,Cleveland Cavaliers,91,78
179,Dallas Mavericks,Los Angeles Lakers,140,106
180,Denver Nuggets,New Orleans Pelicans,117,97
181,Golden State Warriors,Utah Jazz,101,88
182,Portland Trail Blazers,Chicago Bulls,105,87
183,Phoenix Suns,Indiana Pacers,106,83
184,Miami Heat,Orlando Magic,99,92
185,Toronto Raptors,Cleveland Cavaliers,110,93
186,New York Knicks,Philadelphia 76ers,91,83
187,Houston Rockets,Dallas Mavericks,95,92
188,Sacramento Kings,Minnesota Timberwolves,113,101
189,Washington Wizards,Milwaukee Bucks,111,100
190,San Antonio Spurs,Brooklyn Nets,99,87
191,New Orleans Pelicans,Utah Jazz,106,94
192,Memphis Grizzlies,Los Angeles Clippers,107,91
193,Portland Trail Blazers,Boston Celtics,94,88
194,Miami Heat,Charlotte Hornets,94,93
195,Golden State Warriors,Oklahoma City Thunder,91,86
196,Denver Nuggets,Los Angeles Lakers,101,94
197,Los Angeles Clippers,Charlotte Hornets,113,92
198,Cleveland Cavaliers,Orlando Magic,106,74
199,Portland Trail Blazers,Philadelphia 76ers,114,104
200,Toronto Raptors,Phoenix Suns,104,100
201,Houston Rockets,New York Knicks,91,86
202,Indiana Pacers,Dallas Mavericks,111,100
203,Chicago Bulls,Utah Jazz,97,95
204,Atlanta Hawks,Washington Wizards,106,102
205,Golden State Warriors,Miami Heat,114,97
206,Milwaukee Bucks,Detroit Pistons,98,86
207,Sacramento Kings,New Orleans Pelicans,99,89
208,Denver Nuggets,Chicago Bulls,114,109
209,Portland Trail Blazers,Charlotte Hornets,105,97
210,Cleveland Cavaliers,Washington Wizards,113,87
211,Golden State Warriors,Orlando Magic,111,96
212,Brooklyn Nets,Philadelphia 76ers,99,91
213,Dallas Mavericks,New York Knicks,109,102
214,Toronto Raptors,Atlanta Hawks,126,115
215,Los Angeles Clippers,Detroit Pistons,104,98
216,Houston Rockets,Sacramento Kings,102,89
217,Milwaukee Bucks,Minnesota Timberwolves,103,86
218,Oklahoma City Thunder,Utah Jazz,97,82
219,San Antonio Spurs,Indiana Pacers,106,100
220,Phoenix Suns,Denver Nuggets,120,112
221,Memphis Grizzlies,Los Angeles Lakers,99,93
222,Chicago Bulls,Boston Celtics,109,102
223,Golden State Warriors,Charlotte Hornets,106,101
224,Atlanta Hawks,New Orleans Pelicans,100,91
225,Milwaukee Bucks,Detroit Pistons,104,88
226,Dallas Mavericks,Toronto Raptors,106,102
227,Los Angeles Clippers,Houston Rockets,102,85
228,Oklahoma City Thunder,New York Knicks,105,78
229,Indiana Pacers,Orlando Magic,98,83
230,San Antonio Spurs,Sacramento Kings,112,104
231,Denver Nuggets,Phoenix Suns,122,97
232,Memphis Grizzlies,Portland Trail Blazers,112,99
233,Minnesota Timberwolves,Los Angeles Lakers,120,119
234,Dallas Mavericks,Philadelphia 76ers,110,103
235,Washington Wizards,New Orleans Pelicans,83,80
236,Atlanta Hawks,Charlotte Hornets,105,75
237,Cleveland Cavaliers,Indiana Pacers,109,97
238,Los Angeles Clippers,Utah Jazz,112,96
239,Houston Rockets,Milwaukee Bucks,117,103
240,San Antonio Spurs,Boston Celtics,111,89
241,Chicago Bulls,Brooklyn Nets,102,84
242,Golden State Warriors,Detroit Pistons,104,93
243,Memphis Grizzlies,Sacramento Kings,97,85
244,Miami Heat,New York Knicks,86,79
245,Orlando Magic,Phoenix Suns,93,90
246,Portland Trail Blazers,Minnesota Timberwolves,107,93
247,Los Angeles Lakers,Toronto Raptors,129,122
248,San Antonio Spurs,Philadelphia 76ers,109,103
249,Washington Wizards,Miami Heat,107,86
250,Denver Nuggets,Utah Jazz,103,101
251,Los Angeles Clippers,Minnesota Timberwolves,127,101
252,Cleveland Cavaliers,Milwaukee Bucks,111,108
253,Atlanta Hawks,Boston Celtics,109,105
254,Los Angeles Lakers,Detroit Pistons,106,96
255,Brooklyn Nets,New York Knicks,98,93
256,Dallas Mavericks,Chicago Bulls,132,129
257,New Orleans Pelicans,Oklahoma City Thunder,112,104
258,Portland Trail Blazers,Denver Nuggets,105,103
259,Phoenix Suns,Indiana Pacers,116,99
260,Toronto Raptors,Sacramento Kings,117,109
261,Golden State Warriors,Orlando Magic,98,97
262,Chicago Bulls,Charlotte Hornets,102,95
263,Washington Wizards,Los Angeles Lakers,111,95
264,Boston Celtics,Detroit Pistons,109,102
265,Brooklyn Nets,San Antonio Spurs,95,93
266,Atlanta Hawks,Miami Heat,112,102
267,Houston Rockets,Memphis Grizzlies,105,96
268,Dallas Mavericks,Milwaukee Bucks,107,105
269,Philadelphia 76ers,Minnesota Timberwolves,85,77
270,Toronto Raptors,Utah Jazz,123,104
271,Los Angeles Clippers,Orlando Magic,114,86
272,Cleveland Cavaliers,New York Knicks,90,87
273,Portland Trail Blazers,Indiana Pacers,88,82
274,Golden State Warriors,New Orleans Pelicans,112,85
275,Charlotte Hornets,New York Knicks,103,102
276,Oklahoma City Thunder,Philadelphia 76ers,103,91
277,Washington Wizards,Denver Nuggets,119,89
278,Boston Celtics,Los Angeles Lakers,113,96
279,Atlanta Hawks,Brooklyn Nets,98,75
280,Cleveland Cavaliers,Toronto Raptors,105,91
281,San Antonio Spurs,Memphis Grizzlies,107,101
282,Houston Rockets,Minnesota Timberwolves,114,112
283,Phoenix Suns,Dallas Mavericks,118,106
284,Milwaukee Bucks,Miami Heat,109,85
285,Orlando Magic,Utah Jazz,98,93
286,Sacramento Kings,Indiana Pacers,102,101
287,Philadelphia 76ers,Detroit Pistons,108,101
288,Golden State Warriors,Chicago Bulls,112,102
289,Houston Rockets,Phoenix Suns,100,95
290,San Antonio Spurs,Minnesota Timberwolves,123,101
291,Orlando Magic,Sacramento Kings,105,96
292,Los Angeles Clippers,New Orleans Pelicans,120,100
293,Boston Celtics,Washington Wizards,101,93
294,Atlanta Hawks,Denver Nuggets,96,84
295,Memphis Grizzlies,Miami Heat,103,87
296,Oklahoma City Thunder,Detroit Pistons,96,94
297,Dallas Mavericks,Milwaukee Bucks,125,102
298,Portland Trail Blazers,New York Knicks,103,99
299,New Orleans Pelicans,Los Angeles Lakers,104,87
300,Atlanta Hawks,Indiana Pacers,108,92
301,Washington Wizards,Boston Celtics,133,132
302,Cleveland Cavaliers,Brooklyn Nets,110,88
303,Toronto Raptors,Denver Nuggets,112,107
304,Golden State Warriors,Minnesota Timberwolves,102,86
305,Sacramento Kings,Utah Jazz,101,92
306,Los Angeles Clippers,Phoenix Suns,121,120
307,Cleveland Cavaliers,Toronto Raptors,105,101
308,Portland Trail Blazers,Detroit Pistons,98,86
309,Memphis Grizzlies,Dallas Mavericks,114,105
310,New Orleans Pelicans,New York Knicks,104,93
311,Oklahoma City Thunder,Milwaukee Bucks,114,101
312,Miami Heat,Phoenix Suns,103,97
313,Utah Jazz,San Antonio Spurs,100,96
314,Los Angeles Lakers,Sacramento Kings,98,95
315,Charlotte Hornets,Boston Celtics,96,87
316,Los Angeles Clippers,Indiana Pacers,103,96
317,Washington Wizards,Orlando Magic,91,89
318,Atlanta Hawks,Philadelphia 76ers,95,79
319,Chicago Bulls,Brooklyn Nets,105,80
320,Minnesota Timberwolves,Portland Trail Blazers,90,82
321,San Antonio Spurs,New York Knicks,109,95
322,Dallas Mavericks,New Orleans Pelicans,112,107
323,Golden State Warriors,Houston Rockets,105,93
324,Denver Nuggets,Miami Heat,102,82
325,Oklahoma City Thunder,Cleveland Cavaliers,103,94
326,Houston Rockets,Sacramento Kings,113,109
327,Chicago Bulls,Portland Trail Blazers,115,106
328,Washington Wizards,Los Angeles Clippers,104,96
329,Atlanta Hawks,Orlando Magic,87,81
330,New York Knicks,Boston Celtics,101,95
331,Brooklyn Nets,Philadelphia 76ers,88,70
332,Toronto Raptors,Indiana Pacers,106,94
333,Memphis Grizzlies,Charlotte Hornets,113,107
334,Oklahoma City Thunder,Minnesota Timberwolves,111,92
335,New Orleans Pelicans,Cleveland Cavaliers,119,114
336,Detroit Pistons,Phoenix Suns,105,103
337,Miami Heat,Utah Jazz,100,95
338,Los Angeles Lakers,San Antonio Spurs,112,110
339,Golden State Warriors,Dallas Mavericks,105,98
340,Brooklyn Nets,Charlotte Hornets,114,87
341,Portland Trail Blazers,Indiana Pacers,95,85
342,Orlando Magic,Atlanta Hawks,100,99
343,Milwaukee Bucks,Los Angeles Clippers,111,106
344,Memphis Grizzlies,Philadelphia 76ers,120,115
345,Houston Rockets,Denver Nuggets,108,96
346,Detroit Pistons,Sacramento Kings,95,90
347,Golden State Warriors,New Orleans Pelicans,128,122
348,Chicago Bulls,Miami Heat,93,75
349,Washington Wizards,Utah Jazz,93,84
350,Los Angeles Lakers,Minnesota Timberwolves,100,94
351,Oklahoma City Thunder,Phoenix Suns,112,88
352,Toronto Raptors,New York Knicks,95,90
353,San Antonio Spurs,Denver Nuggets,99,91
354,Cleveland Cavaliers,Charlotte Hornets,97,88
355,Indiana Pacers,Los Angeles Lakers,110,91
356,Boston Celtics,Philadelphia 76ers,105,87
357,Atlanta Hawks,Chicago Bulls,93,86
358,Toronto Raptors,Orlando Magic,95,82
359,Milwaukee Bucks,Phoenix Suns,96,94
360,Portland Trail Blazers,San Antonio Spurs,108,95
361,Los Angeles Clippers,Detroit Pistons,113,91
362,Washington Wizards,Minnesota Timberwolves,109,95
363,Miami Heat,Brooklyn Nets,95,91
364,Memphis Grizzlies,Golden State Warriors,105,98
365,New Orleans Pelicans,Utah Jazz,119,111
366,Dallas Mavericks,New York Knicks,107,87
367,Oklahoma City Thunder,Sacramento Kings,104,92
368,Phoenix Suns,Charlotte Hornets,111,106
369,Atlanta Hawks,Cleveland Cavaliers,127,98
370,Boston Celtics,Orlando Magic,109,92
371,Dallas Mavericks,Detroit Pistons,117,106
372,Utah Jazz,Miami Heat,105,87
373,Toronto Raptors,Brooklyn Nets,105,89
374,Memphis Grizzlies,San Antonio Spurs,117,116
375,Portland Trail Blazers,Milwaukee Bucks,104,97
376,Los Angeles Clippers,Indiana Pacers,102,100
377,Houston Rockets,Denver Nuggets,115,111
378,Chicago Bulls,New York Knicks,103,97
379,New Orleans Pelicans,Houston Rockets,99,90
380,Milwaukee Bucks,Sacramento Kings,108,107
381,Golden State Warriors,Oklahoma City Thunder,114,109
382,Utah Jazz,Orlando Magic,101,94
383,Charlotte Hornets,Philadelphia 76ers,109,91
384,Boston Celtics,Minnesota Timberwolves,114,98
385,Cleveland Cavaliers,Brooklyn Nets,95,91
386,Toronto Raptors,Detroit Pistons,110,100
387,Washington Wizards,Miami Heat,105,103
388,Chicago Bulls,Memphis Grizzlies,103,97
389,Portland Trail Blazers,San Antonio Spurs,129,119
390,Denver Nuggets,Los Angeles Clippers,109,106
391,Oklahoma City Thunder,Los Angeles Lakers,104,103
392,Phoenix Suns,New York Knicks,99,90
393,Portland Trail Blazers,New Orleans Pelicans,114,88
394,Charlotte Hornets,Utah Jazz,104,86
395,Atlanta Hawks,Houston Rockets,104,97
396,Dallas Mavericks,San Antonio Spurs,99,93
397,Denver Nuggets,Indiana Pacers,76,73
398,Los Angeles Clippers,Milwaukee Bucks,106,102
399,Toronto Raptors,New York Knicks,118,108
400,Cleveland Cavaliers,Memphis Grizzlies,105,91
401,Sacramento Kings,Los Angeles Lakers,108,101
402,Brooklyn Nets,Detroit Pistons,110,105
403,Miami Heat,Boston Celtics,100,84
404,Philadelphia 76ers,Orlando Magic,96,88
405,Phoenix Suns,Washington Wizards,104,92
406,Indiana Pacers,Minnesota Timberwolves,100,96
407,New Orleans Pelicans,Oklahoma City Thunder,101,99
408,Charlotte Hornets,Denver Nuggets,110,82
409,Chicago Bulls,Toronto Raptors,129,120
410,Houston Rockets,Portland Trail Blazers,110,95
411,Utah Jazz,Memphis Grizzlies,97,91
412,Atlanta Hawks,Dallas Mavericks,105,102
413,San Antonio Spurs,Los Angeles Clippers,125,118
414,Golden State Warriors,Sacramento Kings,128,108
415,Cleveland Cavaliers,Minnesota Timberwolves,125,104
416,Indiana Pacers,New Orleans Pelicans,96,84
417,Orlando Magic,Boston Celtics,100,95
418,Chicago Bulls,Washington Wizards,99,91
419,Atlanta Hawks,Los Angeles Clippers,107,104
420,Brooklyn Nets,Denver Nuggets,102,96
421,Philadelphia 76ers,Miami Heat,91,87
422,Charlotte Hornets,Milwaukee Bucks,108,101
423,Portland Trail Blazers,Oklahoma City Thunder,115,111
424,Phoenix Suns,Dallas Mavericks,124,115
425,Los Angeles Lakers,Golden State Warriors,115,105
426,Washington Wizards,New York Knicks,102,91
427,Oklahoma City Thunder,San Antonio Spurs,114,106
428,Miami Heat,Cleveland Cavaliers,101,91
429,Chicago Bulls,Los Angeles Lakers,113,93
430,Los Angeles Clippers,Golden State Warriors,100,86
431,Brooklyn Nets,Boston Celtics,109,107
432,Cleveland Cavaliers,Orlando Magic,98,89
433,Milwaukee Bucks,Atlanta Hawks,107,77
434,Detroit Pistons,Indiana Pacers,119,109
435,Houston Rockets,Memphis Grizzlies,117,111
436,New Orleans Pelicans,San Antonio Spurs,97,90
437,Oklahoma City Thunder,Charlotte Hornets,98,75
438,Dallas Mavericks,Los Angeles Lakers,102,98
439,Denver Nuggets,Minnesota Timberwolves,106,102
440,Portland Trail Blazers,Philadelphia 76ers,114,93
441,Phoenix Suns,Sacramento Kings,115,106
442,Toronto Raptors,Los Angeles Clippers,110,98
443,Orlando Magic,Charlotte Hornets,102,94
444,Washington Wizards,Boston Celtics,101,88
445,Memphis Grizzlies,Miami Heat,103,95
446,Chicago Bulls,New Orleans Pelicans,107,100
447,Indiana Pacers,Brooklyn Nets,110,85
448,Atlanta Hawks,Milwaukee Bucks,90,85
449,Utah Jazz,Philadelphia 76ers,88,71
450,Sacramento Kings,New York Knicks,135,129
451,Golden State Warriors,Minnesota Timberwolves,110,97
452,Detroit Pistons,Cleveland Cavaliers,103,80
453,San Antonio Spurs,Houston Rockets,110,106
454,Dallas Mavericks,Oklahoma City Thunder,112,107
455,Portland Trail Blazers,New York Knicks,101,79
456,Toronto Raptors,Denver Nuggets,116,102
457,Phoenix Suns,Los Angeles Lakers,116,107
458,Milwaukee Bucks,Charlotte Hornets,104,94
459,Chicago Bulls,Indiana Pacers,92,90
460,Brooklyn Nets,Sacramento Kings,107,99
461,Orlando Magic,Miami Heat,102,101
462,Washington Wizards,Houston Rockets,104,103
463,Los Angeles Clippers,Utah Jazz,101,97
464,Detroit Pistons,Orlando Magic,109,86
465,Atlanta Hawks,Cleveland Cavaliers,109,101
466,Brooklyn Nets,Chicago Bulls,96,82
467,Memphis Grizzlies,San Antonio Spurs,95,87
468,New Orleans Pelicans,Phoenix Suns,110,106
469,Dallas Mavericks,Washington Wizards,114,87
470,Los Angeles Lakers,Denver Nuggets,111,103
471,Utah Jazz,Minnesota Timberwolves,100,94
472,Portland Trail Blazers,Toronto Raptors,102,97
473,Golden State Warriors,Philadelphia 76ers,126,86
474,Boston Celtics,Sacramento Kings,106,84
475,Indiana Pacers,Miami Heat,106,95
476,Los Angeles Clippers,New York Knicks,99,78
477,Houston Rockets,Charlotte Hornets,102,83
478,Milwaukee Bucks,Cleveland Cavaliers,96,80
479,Oklahoma City Thunder,Phoenix Suns,137,134
480,San Antonio Spurs,New Orleans Pelicans,95,93
481,Chicago Bulls,Denver Nuggets,106,101
482,Sacramento Kings,Minnesota Timberwolves,110,107
483,Cleveland Cavaliers,Charlotte Hornets,91,87
484,Brooklyn Nets,Orlando Magic,100,98
485,Dallas Mavericks,Boston Celtics,119,101
486,Detroit Pistons,New York Knicks,97,81
487,New Orleans Pelicans,Houston Rockets,111,83
488,Oklahoma City Thunder,Washington Wizards,109,102
489,Indiana Pacers,Milwaukee Bucks,94,91
490,Phoenix Suns,Philadelphia 76ers,112,96
491,Atlanta Hawks,Utah Jazz,98,92
492,Golden State Warriors,Toronto Raptors,126,105
493,Memphis Grizzlies,Los Angeles Lakers,109,106
494,Charlotte Hornets,Orlando Magic,98,90
495,Chicago Bulls,Boston Celtics,109,104
496,Houston Rockets,Miami Heat,115,79
497,Utah Jazz,Minnesota Timberwolves,101,89
498,San Antonio Spurs,Washington Wizards,101,92
499,Denver Nuggets,Memphis Grizzlies,114,85
500,Atlanta Hawks,Portland Trail Blazers,115,107
501,Los Angeles Clippers,Philadelphia 76ers,127,91
502,Dallas Mavericks,Cleveland Cavaliers,109,90
503,Detroit Pistons,Sacramento Kings,114,95
504,Miami Heat,Brooklyn Nets,88,84
505,Milwaukee Bucks,New York Knicks,95,82
506,Phoenix Suns,Toronto Raptors,125,109
507,Los Angeles Lakers,Indiana Pacers,88,87
508,Philadelphia 76ers,Cleveland Cavaliers,95,92
509,Charlotte Hornets,Boston Celtics,104,95
510,Dallas Mavericks,Brooklyn Nets,96,88
511,Chicago Bulls,Houston Rockets,114,105
512,Memphis Grizzlies,New York Knicks,105,83
513,Denver Nuggets,Minnesota Timberwolves,110,101
514,Washington Wizards,New Orleans Pelicans,92,85
515,Indiana Pacers,Utah Jazz,105,101
516,Portland Trail Blazers,Los Angeles Lakers,98,94
517,Golden State Warriors,Oklahoma City Thunder,117,91
518,Atlanta Hawks,Los Angeles Clippers,107,98
519,Phoenix Suns,Milwaukee Bucks,102,96
520,Detroit Pistons,San Antonio Spurs,105,104
521,Charlotte Hornets,New Orleans Pelicans,98,94
522,Houston Rockets,Cleveland Cavaliers,105,93
523,Milwaukee Bucks,Philadelphia 76ers,97,77
524,Washington Wizards,New York Knicks,101,91
525,Atlanta Hawks,Memphis Grizzlies,96,86
526,Boston Celtics,Brooklyn Nets,89,81
527,Utah Jazz,Chicago Bulls,97,77
528,Detroit Pistons,Dallas Mavericks,108,95
529,Denver Nuggets,Orlando Magic,93,90
530,Phoenix Suns,Minnesota Timberwolves,113,111
531,Sacramento Kings,Oklahoma City Thunder,104,83
532,Golden State Warriors,Indiana Pacers,117,102
533,Los Angeles Clippers,Los Angeles Lakers,114,89
534,Charlotte Hornets,Toronto Raptors,103,95
535,Houston Rockets,New York Knicks,120,96
536,Portland Trail Blazers,Miami Heat,99,83
537,Indiana Pacers,Boston Celtics,107,103
538,Philadelphia 76ers,Brooklyn Nets,90,88
539,Atlanta Hawks,Detroit Pistons,106,103
540,New Orleans Pelicans,Memphis Grizzlies,106,95
541,Oklahoma City Thunder,Utah Jazz,99,94
542,Washington Wizards,Chicago Bulls,102,86
543,Milwaukee Bucks,Minnesota Timberwolves,98,84
544,San Antonio Spurs,Phoenix Suns,100,95
545,Denver Nuggets,Sacramento Kings,118,108
546,Golden State Warriors,Cleveland Cavaliers,112,94
547,Los Angeles Lakers,Orlando Magic,101,84
548,Charlotte Hornets,New York Knicks,110,82
549,Los Angeles Clippers,Dallas Mavericks,120,100
550,Detroit Pistons,Brooklyn Nets,98,93
551,Philadelphia 76ers,Indiana Pacers,93,92
552,Toronto Raptors,Boston Celtics,109,96
